Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,GOOGL,89.58999633789062,91.05000305175781,88.5199966430664,89.12000274658203,28131200,0.0,0.0
2023-01-04 00:00:00-05:00,GOOGL,90.3499984741211,90.6500015258789,87.2699966430664,88.08000183105469,34854800,0.0,0.0
2023-01-05 00:00:00-05:00,GOOGL,87.47000122070312,87.56999969482422,85.9000015258789,86.19999694824219,27194400,0.0,0.0
2023-01-06 00:00:00-05:00,GOOGL,86.79000091552734,87.69000244140625,84.86000061035156,87.33999633789062,41381500,0.0,0.0
2023-01-09 00:00:00-05:00,GOOGL,88.36000061035156,90.05000305175781,87.86000061035156,88.0199966430664,29003900,0.0,0.0
2023-01-10 00:00:00-05:00,GOOGL,85.9800033569336,88.66999816894531,85.83000183105469,88.41999816894531,30467800,0.0,0.0
2023-01-11 00:00:00-05:00,GOOGL,89.18000030517578,91.5999984741211,89.01000213623047,91.5199966430664,26862000,0.0,0.0
2023-01-12 00:00:00-05:00,GOOGL,91.4800033569336,91.87000274658203,89.75,91.12999725341797,30258100,0.0,0.0
2023-01-13 00:00:00-05:00,GOOGL,90.8499984741211,92.19000244140625,90.12999725341797,92.12000274658203,26329200,0.0,0.0
2023-01-17 00:00:00-05:00,GOOGL,92.05999755859375,92.25,90.05000305175781,91.29000091552734,32602400,0.0,0.0
2023-01-18 00:00:00-05:00,GOOGL,92.13999938964844,92.80000305175781,90.63999938964844,91.12000274658203,29116700,0.0,0.0
2023-01-19 00:00:00-05:00,GOOGL,90.72000122070312,93.61000061035156,90.62999725341797,93.05000305175781,37000400,0.0,0.0
2023-01-20 00:00:00-05:00,GOOGL,95.0999984741211,98.30000305175781,95.0199966430664,98.0199966430664,63191100,0.0,0.0
2023-01-23 00:00:00-05:00,GOOGL,97.94999694824219,100.04000091552734,97.5,99.79000091552734,40005100,0.0,0.0
2023-01-24 00:00:00-05:00,GOOGL,98.0999984741211,99.61000061035156,97.19999694824219,97.69999694824219,33078500,0.0,0.0
2023-01-25 00:00:00-05:00,GOOGL,95.56999969482422,96.16000366210938,93.76000213623047,95.22000122070312,42330000,0.0,0.0
2023-01-26 00:00:00-05:00,GOOGL,96.5,97.56999969482422,95.37999725341797,97.5199966430664,30114000,0.0,0.0
2023-01-27 00:00:00-05:00,GOOGL,97.30999755859375,100.31999969482422,97.30999755859375,99.37000274658203,33879800,0.0,0.0
2023-01-30 00:00:00-05:00,GOOGL,97.4800033569336,98.29000091552734,96.4000015258789,96.94000244140625,27226200,0.0,0.0
2023-01-31 00:00:00-05:00,GOOGL,96.87000274658203,98.87999725341797,96.81999969482422,98.83999633789062,29870700,0.0,0.0
2023-02-01 00:00:00-05:00,GOOGL,98.70999908447266,101.19000244140625,97.58000183105469,100.43000030517578,35531100,0.0,0.0
2023-02-02 00:00:00-05:00,GOOGL,105.80000305175781,107.8499984741211,105.61000061035156,107.73999786376953,69883800,0.0,0.0
2023-02-03 00:00:00-05:00,GOOGL,102.93000030517578,107.80999755859375,102.58000183105469,104.77999877929688,65309300,0.0,0.0
2023-02-06 00:00:00-05:00,GOOGL,102.4000015258789,104.36000061035156,101.87999725341797,102.9000015258789,31999600,0.0,0.0
2023-02-07 00:00:00-05:00,GOOGL,103.22000122070312,108.18000030517578,103.12000274658203,107.63999938964844,49010200,0.0,0.0
2023-02-08 00:00:00-05:00,GOOGL,102.05000305175781,103.13999938964844,98.04000091552734,99.37000274658203,94743500,0.0,0.0
2023-02-09 00:00:00-05:00,GOOGL,100.0,100.02999877929688,93.62999725341797,95.01000213623047,119455000,0.0,0.0
2023-02-10 00:00:00-05:00,GOOGL,95.44999694824219,96.75,94.25,94.56999969482422,54980700,0.0,0.0
2023-02-13 00:00:00-05:00,GOOGL,94.73999786376953,95.19999694824219,93.83999633789062,94.61000061035156,50076100,0.0,0.0
2023-02-14 00:00:00-05:00,GOOGL,94.43000030517578,94.8499984741211,92.26000213623047,94.68000030517578,54726100,0.0,0.0
2023-02-15 00:00:00-05:00,GOOGL,94.48999786376953,97.12000274658203,94.1500015258789,96.94000244140625,50169000,0.0,0.0
2023-02-16 00:00:00-05:00,GOOGL,95.37000274658203,97.68000030517578,94.73999786376953,95.51000213623047,42462600,0.0,0.0
2023-02-17 00:00:00-05:00,GOOGL,94.8499984741211,95.55999755859375,93.20999908447266,94.3499984741211,34284100,0.0,0.0
2023-02-21 00:00:00-05:00,GOOGL,93.0,93.0999984741211,91.72000122070312,91.79000091552734,33629300,0.0,0.0
2023-02-22 00:00:00-05:00,GOOGL,91.69999694824219,92.11000061035156,90.61000061035156,91.6500015258789,30884000,0.0,0.0
2023-02-23 00:00:00-05:00,GOOGL,91.91999816894531,91.94000244140625,89.76000213623047,90.88999938964844,41206400,0.0,0.0
2023-02-24 00:00:00-05:00,GOOGL,89.44000244140625,89.88999938964844,88.58000183105469,89.12999725341797,36585100,0.0,0.0
2023-02-27 00:00:00-05:00,GOOGL,89.87000274658203,90.16000366210938,89.33999633789062,89.87000274658203,27502300,0.0,0.0
2023-02-28 00:00:00-05:00,GOOGL,89.33000183105469,91.2300033569336,89.31999969482422,90.05999755859375,30142000,0.0,0.0
2023-03-01 00:00:00-05:00,GOOGL,89.9800033569336,91.02999877929688,89.66999816894531,90.36000061035156,31111200,0.0,0.0
2023-03-02 00:00:00-05:00,GOOGL,89.66000366210938,92.27999877929688,89.58999633789062,92.0,32204400,0.0,0.0
